Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
44	104		Ru	2.70e+7	-	2.52e+7	2.43e+7	2.38e+7	2.31e+7	2.27e+7	2.22e+7	2.16e+7	2.13e+7	2.10e+7	2.11e+7	
44	96		Ru	2.46e+7	-	2.87e+7	3.04e+7	3.07e+7	3.04e+7	3.01e+7	2.94e+7	2.89e+7	2.84e+7	2.83e+7	2.87e+7	
44	98		Ru	2.74e+7	-	2.78e+7	2.73e+7	2.65e+7	2.58e+7	2.52e+7	2.42e+7	2.37e+7	2.33e+7	2.31e+7	2.32e+7	
44	99		Ru	7.29e+7	-	8.44e+7	9.02e+7	9.19e+7	9.16e+7	9.03e+7	8.65e+7	8.25e+7	7.87e+7	7.23e+7	6.67e+7	
45	103		Rh	1.12e+8	-	1.20e+8	1.27e+8	1.32e+8	1.34e+8	1.34e+8	1.32e+8	1.30e+8	1.27e+8	1.22e+8	1.19e+8	
46	102		Pd	5.25e+7	-	5.35e+7	5.39e+7	5.40e+7	5.38e+7	5.37e+7	5.34e+7	5.36e+7	5.39e+7	5.54e+7	5.74e+7	
46	104		Pd	4.07e+7	-	4.39e+7	4.38e+7	4.33e+7	4.26e+7	4.21e+7	4.13e+7	4.11e+7	4.10e+7	4.19e+7	4.37e+7	
46	105		Pd	1.51e+8	-	1.60e+8	1.65e+8	1.69e+8	1.72e+8	1.75e+8	1.78e+8	1.81e+8	1.84e+8	1.83e+8	1.79e+8	
46	106		Pd	4.16e+7	-	3.97e+7	3.85e+7	3.78e+7	3.72e+7	3.67e+7	3.60e+7	3.53e+7	3.48e+7	3.44e+7	3.42e+7	
46	107		Pd	1.62e+8	-	1.80e+8	1.88e+8	1.92e+8	1.94e+8	1.94e+8	1.94e+8	1.93e+8	1.90e+8	1.80e+8	1.69e+8	
46	108		Pd	3.30e+7	-	3.16e+7	3.08e+7	3.03e+7	2.99e+7	2.95e+7	2.91e+7	2.86e+7	2.84e+7	2.83e+7	2.79e+7	
46	110		Pd	2.67e+7	-	2.44e+7	2.31e+7	2.23e+7	2.17e+7	2.12e+7	2.05e+7	1.99e+7	1.94e+7	1.91e+7	1.88e+7	
47	107		Ag	9.52e+7	-	1.05e+8	1.10e+8	1.14e+8	1.18e+8	1.22e+8	1.28e+8	1.32e+8	1.34e+8	1.32e+8	1.35e+8	
